EMIS_Code,School_Name,Latitude,Longitude,Geocode_Source
35210186,GGHS KAMAHAN,31.4464595,74.3916586,Nominatim-reverse (residential)
35210168,GGHS GHORAY SHAH (Newly upgraded),31.5870311,74.3821182,Nominatim-reverse (attraction)
35220155,GGHS MARAKA VILLAGE (Newly upgraded),31.2443583,74.2138126,Nominatim-reverse (primary)
37150049,GPS BHALESAR,33.8150627,72.7030379,Nominatim-reverse (place_of_worship)
34110639,GGHS Z-BLOCK PEOPLES COLONY,32.1765842,74.1872621,Nominatim-reverse (station)
37230021,GGHS PAIL MIRZA,33.132055,73.4180866,Nominatim-reverse (trunk)
31240061,GGES CHAK NO.42/DNB,29.3483637,71.6954115,Nominatim-reverse (primary)
33120361,GGES CHAK 53 GB JARANWALA,31.3330181,73.4183387,Nominatim-reverse (residential)
33130237,GGES CHAK 529 GB SAMUNDRI,31.4103462,73.0936494,Nominatim-reverse (primary)
38420087,GGHS ZM REHMAN PURA ROAD SGD,32.0836514,72.676461,Nominatim-reverse (station)
36420071,GHS 58/10-R KHANEWAL,30.3022528,71.9278916,Nominatim-reverse (tertiary)
39330014,GHS MODEL RENALA KHURD,30.8782508,73.5998771,Nominatim-reverse (unclassified)
31260240,GPS HAJI KHAMEESA,,,Not Geocoded (no coordinates available)
34140170,GPS GHARRI,31.96734,73.96987,Manual (Google Maps)
34220737,GPS BUGHNA,32.8100237,73.8663245,Nominatim-reverse (unclassified)
39310993,GHS NO.1 BASIR PUR MAIN ROAD,30.6691771,73.6513733,Nominatim-reverse (tertiary)
32330082,GGHS BHUTTA PUR,30.084183,71.1939667,Nominatim-reverse (station)
37340007,GHS USMAN KHATTAR,33.7422793,72.8145203,Nominatim-reverse (station)
37330123,GHS MC AMAR PURA RAWALPINDI,33.6040754,73.0483807,Nominatim-reverse (stop)
33221148,GMPS CHAK NO 166 JB DOKA,31.2777606,72.3213727,Nominatim-reverse (bus_station)
33310079,GGHS CHAK 159 GB,,,Not Geocoded (no coordinates available)
39310174,GGES AMLI MOTI,30.6691771,73.6513733,Nominatim-reverse (tertiary)
34220780,GGHS NAWAZ SHARIF LALA MUSA,32.8100237,73.8663245,Nominatim-reverse (unclassified)
33110019,GPS CHAK 214 RB E,31.386296,73.0676444,Nominatim-reverse (school)
33110371,GGHS MC PEOPLES COLONY FAISALABAD,31.386296,73.0676444,Nominatim-reverse (school)
33150025,GPS 141 RB II,,,Not Geocoded (no coordinates available)
33140544,GHSS 209/RB,31.3711401,73.0706582,Nominatim-reverse (fuel)
33120254,GPS 434 GB,31.3330181,73.4183387,Nominatim-reverse (residential)
33160266,GGPS 595 GB,,,Not Geocoded (no coordinates available)
33130129,GPS 209 GB,31.4103462,73.0936494,Nominatim-reverse (primary)
35210591,GGPS SOHARWARDIA,31.5870311,74.3821182,Nominatim-reverse (attraction)
35220159,GES MAZAR BABA REHMAT SHAH (EX-MCL),31.2443583,74.2138126,Nominatim-reverse (primary)
35210798,GGES SHALIMAR TOWN (EX-MCL),31.5870311,74.3821182,Nominatim-reverse (attraction)
35210011,GHS KARIM BLOCK ALLAMA IQBAL TOWN,31.4729999,74.3108542,Nominatim-reverse (tertiary)
35210049,GHS GULBERG LAHORE CANTT (FATEH ABAD),31.5221005,74.3790353,Nominatim-reverse (attraction)
35220493,GMMS SODIWAL PIND BAND ROAD LAHORE,31.5831841,74.3184836,Nominatim-reverse (living_street)
35210020,GHS MUSLIM LAHORE CANTT,31.5221005,74.3790353,Nominatim-reverse (attraction)
36430098,GGES 50/15-L MIAN CHANNU,30.4389367,72.3550547,Nominatim-reverse (primary)
37330556,GGPS MC MOHRI KAMBAL,33.6040754,73.0483807,Nominatim-reverse (stop)
35220032,GHSS MOZANG LAHORE,31.5831841,74.3184836,Nominatim-reverse (living_street)
35220064,GGHS PAK STANDARD SHAD BAGH LAHORE,31.5831841,74.3184836,Nominatim-reverse (living_street)
37330117,GHS KHAYABAN-E-SIR SYED SECTOR 4-B,33.6040754,73.0483807,Nominatim-reverse (stop)
99990001,GPS CHAK FAKE-1 (Synthetic Test Case),,,Synthetic (no real location)
