Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL
Real (PMIU Visit),35210186,GGHS KAMAHAN,LAHORE,MODEL TOWN,High,Open,No,24,24,23,1,1128,594,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,18-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4257146
Real (PMIU Visit),35210168,GGHS GHORAY SHAH (Newly upgraded),LAHORE,SHALIMAR,High,Open,No,23,18,18,0,625,564,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3863896
Real (PMIU Visit),35220155,GGHS MARAKA VILLAGE (Newly upgraded),LAHORE,RAIWIND,High,Open,No,14,14,9,5,653,560,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Land adjacent to school unattended due to no boundary wall on that side,27-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3945400
Real (PMIU Visit),37150049,GPS BHALESAR,ATTOCK,HASSANABDAL,Primary,Open,No,5,2,2,0,114,105,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4085472
Real (PMIU Visit),34110639,GGHS Z-BLOCK PEOPLES COLONY,GUJRANWALA,GUJRANWALA CITY,High,Open,No,9,7,5,2,311,302,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,19-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3968633
Real (PMIU Visit),37230021,GGHS PAIL MIRZA,JHELUM,SOHAWA,High,Open,No,15,15,11,3,298,259,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4288688
Real (PMIU Visit),31240061,GGES CHAK NO.42/DNB,BAHAWALPUR,YAZMAN,Middle,Open,No,9,3,2,1,127,126,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Head Teacher did not sign visit report,17-03-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/417730
Real (PMIU Visit),33120361,GGES CHAK 53 GB JARANWALA,FAISALABAD,JARANWALA,Middle,Open,No,10,10,9,1,447,400,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,24-03-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3372967
Real (PMIU Visit),33130237,GGES CHAK 529 GB SAMUNDRI,FAISALABAD,SAMUNDARI,Middle,Open,No,12,3,3,0,177,160,6,6,No,Yes-Wholly,Yes-Wholly,Good,150 feet boundary wall required for this school,09-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4239608
Real (PMIU Visit),38420087,GGHS ZM REHMAN PURA ROAD SGD,SARGODHA,SARGODHA,High,Open,No,33,31,26,5,925,686,15,15,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,26-10-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3557041
Real (PMIU Visit),36420071,GHS 58/10-R KHANEWAL,KHANEWAL,KHANEWAL,High,Open,No,25,13,11,2,643,342,12,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,1 toilet nonfunctional,03-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3851119
Real (PMIU Visit),39330014,GHS MODEL RENALA KHURD,OKARA,RENALA KHURD,High,Open,No,63,46,42,4,1054,900,23,23,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,23-05-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4040341
Real (PMIU Visit),31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,Primary,Open,No,4,2,2,0,101,93,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,06-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3913623
Real (PMIU Visit),34140170,GPS GHARRI,GUJRANWALA,NOSHERA VIRKAN,Primary,Open,No,13,9,8,1,324,272,6,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,17-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4162634
Real (PMIU Visit),34220737,GPS BUGHNA,GUJRAT,KHARIAN,Primary,Open,No,4,2,2,0,84,78,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4153720
