Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Fill_Rate_Percent,Total_Enrolled,Total_Present,Attendance_Rate_Percent,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Teacher_Presence_Rate_Percent,Teacher_Absence_Rate_Percent,Student_Absence_Rate_Percent,Functional_Toilet_Rate_Percent,Boundary_Wall_Indicator,Electricity_Indicator,Drinking_Water_Indicator,Government_Monitoring_Risk_Score,Audit_Priority,Derived_Features_Source
Real,35210186,GGHS KAMAHAN,LAHORE,MODEL TOWN,High,Open,No,24,24,23,1,100.0,1128,594,52.7,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,18-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4257146,95.83,4.17,47.3,100.0,1.0,1,1,8.58,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35210168,GGHS GHORAY SHAH (Newly upgraded),LAHORE,SHALIMAR,High,Open,No,23,18,18,0,78.3,625,564,90.2,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3863896,100.0,0.0,9.8,100.0,1.0,1,1,1.63,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,35220155,GGHS MARAKA VILLAGE (Newly upgraded),LAHORE,RAIWIND,High,Open,No,14,14,9,5,100.0,653,560,85.8,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Land adjacent to school unattended due to no boundary wall on that side,27-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3945400,64.29,35.71,14.2,100.0,1.0,1,1,8.32,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37150049,GPS BHALESAR,ATTOCK,HASSANABDAL,Primary,Open,No,5,2,2,0,40.0,114,105,92.1,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4085472,100.0,0.0,7.9,100.0,1.0,1,1,1.32,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,34110639,GGHS Z-BLOCK PEOPLES COLONY,GUJRANWALA,GUJRANWALA CITY,High,Open,No,9,7,5,2,77.8,311,302,97.1,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,19-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3968633,71.43,28.57,2.9,100.0,1.0,1,1,5.25,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,37230021,GGHS PAIL MIRZA,JHELUM,SOHAWA,High,Open,No,15,15,11,3,100.0,298,259,86.9,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4288688,73.33,20.0,13.1,100.0,1.0,1,1,5.52,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,31240061,GGES CHAK NO.42/DNB,BAHAWALPUR,YAZMAN,Middle,Open,No,9,3,2,1,33.3,127,126,99.2,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Head Teacher did not sign visit report,17-03-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/417730,66.67,33.33,0.8,100.0,1.0,1,1,5.69,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33120361,GGES CHAK 53 GB JARANWALA,FAISALABAD,JARANWALA,Middle,Open,No,10,10,9,1,100.0,447,400,89.5,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,24-03-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3372967,90.0,10.0,10.5,100.0,1.0,1,1,3.42,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,33130237,GGES CHAK 529 GB SAMUNDRI,FAISALABAD,SAMUNDARI,Middle,Open,No,12,3,3,0,25.0,177,160,90.4,6,6,No,Yes-Wholly,Yes-Wholly,Good,150 feet boundary wall required for this school,09-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4239608,100.0,0.0,9.6,100.0,0.0,1,1,18.27,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
Real,38420087,GGHS ZM REHMAN PURA ROAD SGD,SARGODHA,SARGODHA,High,Open,No,33,31,26,5,93.9,925,686,74.2,15,15,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,26-10-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3557041,83.87,16.13,25.8,100.0,1.0,1,1,6.99,Low,Calculated from official PMIU/PESRP school-visit fields in Source_URL
