Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Data_Risk_Reason,Qwen_Fraud_Flag,Qwen_Fraud_Reason,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag,Satellite_Risk_Reason,Final_GhostSchool_Reason,Satellite_Confidence
Real (PMIU Visit),35210186,GGHS KAMAHAN,LAHORE,MODEL TOWN,High,Open,No,24.0,24.0,23.0,1.0,1128.0,594.0,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,18-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4257146,15.3,1,High,Low,,Low attendance (53%),False,,31.4464595,74.3916586,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"Although satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location, the data analysis shows low attendance (53%). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",School-Level
Real (PMIU Visit),35210168,GGHS GHORAY SHAH (Newly upgraded),LAHORE,SHALIMAR,High,Open,No,23.0,18.0,18.0,0.0,625.0,564.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3863896,14.01,1,High,Low,,Last monitoring visit over a year ago,False,,31.5870311,74.3821182,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),35220155,GGHS MARAKA VILLAGE (Newly upgraded),LAHORE,RAIWIND,High,Open,No,14.0,14.0,9.0,5.0,653.0,560.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Land adjacent to school unattended due to no boundary wall on that side,27-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3945400,14.27,1,High,Low,,Last monitoring visit over a year ago,False,No fraud indicators -- routine note,31.2443583,74.2138126,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),37150049,GPS BHALESAR,ATTOCK,HASSANABDAL,Primary,Open,No,5.0,2.0,2.0,0.0,114.0,105.0,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4085472,12.88,1,High,Low,,Last monitoring visit 201 days ago,False,,33.8150627,72.7030379,0.0,37.5,37.5,Mixed_Density,"Village-area shows 37.5% built-up area detected around coordinates — partially developed surroundings, satellite signal inconclusive (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)",The data analysis shows last monitoring visit 201 days ago. Satellite imagery is inconclusive here: it shows 37.5% built-up in the surrounding village area (up from 0% in the 2017 imagery) — partially developed surroundings that neither confirm nor rule out a functioning school at this location.,Village-Level
Real (PMIU Visit),34110639,GGHS Z-BLOCK PEOPLES COLONY,GUJRANWALA,GUJRANWALA CITY,High,Open,No,9.0,7.0,5.0,2.0,311.0,302.0,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,19-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3968633,11.98,1,High,Low,,Last monitoring visit over a year ago,False,,32.1765842,74.1872621,100.0,100.0,100.0,High_Density, 100% built-up area detected — clearly in a developed location,"Although satellite imagery shows 100% built-up around the school's exact location, suggesting a clearly developed location, the data analysis shows last monitoring visit over a year ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",School-Level
Real (PMIU Visit),37230021,GGHS PAIL MIRZA,JHELUM,SOHAWA,High,Open,No,15.0,15.0,11.0,3.0,298.0,259.0,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4288688,4.12,1,High,Low,,All monitored indicators within normal range,False,,33.132055,73.4180866,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","The data analysis shows all monitored indicators within normal range, and satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location. The two findings agree and are consistent with a functioning school; no ghost-school signal is present.",Village-Level
Real (PMIU Visit),31240061,GGES CHAK NO.42/DNB,BAHAWALPUR,YAZMAN,Middle,Open,No,9.0,3.0,2.0,1.0,127.0,126.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Head Teacher did not sign visit report,17-03-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/417730,13.57,1,High,Low,,Last monitoring visit 11 years ago,False,No fraud indicators -- routine note,29.3483637,71.6954115,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 11 years ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),33120361,GGES CHAK 53 GB JARANWALA,FAISALABAD,JARANWALA,Middle,Open,No,10.0,10.0,9.0,1.0,447.0,400.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,24-03-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3372967,13.15,1,High,Low,,Last monitoring visit 3 years ago,False,,31.3330181,73.4183387,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 3 years ago. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
Real (PMIU Visit),33130237,GGES CHAK 529 GB SAMUNDRI,FAISALABAD,SAMUNDARI,Middle,Open,No,12.0,3.0,3.0,0.0,177.0,160.0,6,6,No,Yes-Wholly,Yes-Wholly,Good,150 feet boundary wall required for this school,09-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4239608,17.97,1,High,Low,,No boundary wall,False,No fraud indicators -- routine note,31.4103462,73.0936494,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows no boundary wall. The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.
Monitoring Notes: No fraud indicators detected in the inspection notes.",Village-Level
Real (PMIU Visit),38420087,GGHS ZM REHMAN PURA ROAD SGD,SARGODHA,SARGODHA,High,Open,No,33.0,31.0,26.0,5.0,925.0,686.0,15,15,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,26-10-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3557041,18.05,1,High,Low,,Last monitoring visit 2 years ago and low attendance (74%),False,,32.0836514,72.676461,100.0,100.0,100.0,High_Density,"Village-area shows 100% built-up area detected — clearly in a developed location (shared coordinates with other schools in this village — reflects general area, not confirmed for this specific school)","Although satellite imagery shows 100% built-up in the surrounding village area, suggesting a clearly developed location, the data analysis shows last monitoring visit 2 years ago and low attendance (74%). The two findings therefore point in different directions: a developed setting makes a physically absent school less likely, yet the recorded indicators remain weak. On its own this discrepancy is not a strong ghost-school signal, though it merits routine monitoring.",Village-Level
