Data_Type,EMIS_Code,School_Name,District,Tehsil,Level,School_Status,Building_Illegal_Occupation,Teachers_Sanctioned,Teachers_Filled,Teachers_Present_Today,Teachers_Absent_Today,Total_Enrolled,Total_Present,Toilets_Total,Toilets_Functional,Boundary_Wall,Electricity,Drinking_Water,Cleanliness_Building,Notes,Monitoring_Date,Source_URL,Ghost_Risk_Score_Tier1,Tier,Confidence_Level,Priority,Infrastructure_Screening_Score,Qwen_Fraud_Flag,Qwen_Fraud_Reason
Real (PMIU Visit),35210186,GGHS KAMAHAN,LAHORE,MODEL TOWN,High,Open,No,24.0,24.0,23.0,1.0,1128.0,594.0,16,16,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,18-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4257146,15.3,1,High,Low,,False,
Real (PMIU Visit),35210168,GGHS GHORAY SHAH (Newly upgraded),LAHORE,SHALIMAR,High,Open,No,23.0,18.0,18.0,0.0,625.0,564.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3863896,14.01,1,High,Low,,False,
Real (PMIU Visit),35220155,GGHS MARAKA VILLAGE (Newly upgraded),LAHORE,RAIWIND,High,Open,No,14.0,14.0,9.0,5.0,653.0,560.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Land adjacent to school unattended due to no boundary wall on that side,27-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3945400,14.27,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),37150049,GPS BHALESAR,ATTOCK,HASSANABDAL,Primary,Open,No,5.0,2.0,2.0,0.0,114.0,105.0,4,4,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-10-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4085472,10.88,1,High,Low,,False,
Real (PMIU Visit),34110639,GGHS Z-BLOCK PEOPLES COLONY,GUJRANWALA,GUJRANWALA CITY,High,Open,No,9.0,7.0,5.0,2.0,311.0,302.0,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,19-03-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3968633,11.98,1,High,Low,,False,
Real (PMIU Visit),37230021,GGHS PAIL MIRZA,JHELUM,SOHAWA,High,Open,No,15.0,15.0,11.0,3.0,298.0,259.0,9,9,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4288688,4.12,1,High,Low,,False,
Real (PMIU Visit),31240061,GGES CHAK NO.42/DNB,BAHAWALPUR,YAZMAN,Middle,Open,No,9.0,3.0,2.0,1.0,127.0,126.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Head Teacher did not sign visit report,17-03-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/417730,13.57,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),33120361,GGES CHAK 53 GB JARANWALA,FAISALABAD,JARANWALA,Middle,Open,No,10.0,10.0,9.0,1.0,447.0,400.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,24-03-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3372967,13.15,1,High,Low,,False,
Real (PMIU Visit),33130237,GGES CHAK 529 GB SAMUNDRI,FAISALABAD,SAMUNDARI,Middle,Open,No,12.0,3.0,3.0,0.0,177.0,160.0,6,6,No,Yes-Wholly,Yes-Wholly,Good,150 feet boundary wall required for this school,09-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4239608,17.97,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),38420087,GGHS ZM REHMAN PURA ROAD SGD,SARGODHA,SARGODHA,High,Open,No,33.0,31.0,26.0,5.0,925.0,686.0,15,15,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,26-10-2023,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3557041,18.05,1,High,Low,,False,
Real (PMIU Visit),36420071,GHS 58/10-R KHANEWAL,KHANEWAL,KHANEWAL,High,Open,No,25.0,13.0,11.0,2.0,643.0,342.0,12,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,1 toilet nonfunctional,03-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3851119,27.69,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),39330014,GHS MODEL RENALA KHURD,OKARA,RENALA KHURD,High,Open,No,63.0,46.0,42.0,4.0,1054.0,900.0,23,23,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,23-05-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4040341,15.02,1,High,Low,,False,
Real (PMIU Visit),31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,Primary,Open,No,4.0,2.0,2.0,0.0,101.0,93.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,06-02-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3913623,14.88,1,High,Low,,False,
Real (PMIU Visit),34140170,GPS GHARRI,GUJRANWALA,NOSHERA VIRKAN,Primary,Open,No,13.0,9.0,8.0,1.0,324.0,272.0,6,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,17-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4162634,12.44,1,High,Low,,False,
Real (PMIU Visit),34220737,GPS BUGHNA,GUJRAT,KHARIAN,Primary,Open,No,4.0,2.0,2.0,0.0,84.0,78.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-12-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4153720,8.45,1,High,Low,,False,
Real (PMIU Visit),39310993,GHS NO.1 BASIR PUR MAIN ROAD,OKARA,DEPALPUR,High,Open,No,38.0,35.0,33.0,2.0,1414.0,1201.0,14,12,No,Yes-Wholly,Yes-Wholly,Good,Boundary wall not available; 2 toilets nonfunctional,14-10-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3800928,27.06,1,High,Medium,,False,No fraud indicators -- routine note
Real (PMIU Visit),32330082,GGHS BHUTTA PUR,MUZAFFARGARH,MUZAFFARGARH,High,Open,No,18.0,18.0,17.0,1.0,570.0,405.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3856564,18.68,1,High,Low,,False,
Real (PMIU Visit),37340007,GHS USMAN KHATTAR,RAWALPINDI,TAXILA,High,Open,No,18.0,14.0,13.0,1.0,330.0,310.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,10-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3861357,12.93,1,High,Low,,False,
Real (PMIU Visit),37330123,GHS MC AMAR PURA RAWALPINDI,RAWALPINDI,RAWALPINDI,High,Open,No,16.0,14.0,14.0,0.0,457.0,402.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,3 classrooms used as DO(MC) office; shares building/washrooms with another school (GGES Husainabad); washrooms lacking for children,13-10-2015,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/655192,14.24,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),33221148,GMPS CHAK NO 166 JB DOKA,JHANG,JHANG,Primary,Open,No,4.0,2.0,2.0,0.0,101.0,56.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,20-01-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4168660,18.52,1,High,Low,,False,
Real (PMIU Visit),33310079,GGHS CHAK 159 GB,T.T.SINGH,GOJRA,High,Open,No,14.0,13.0,12.0,1.0,450.0,389.0,10,10,Yes-Partially,Yes-Wholly,Yes-Wholly,Good,,21-02-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3665301,14.42,1,High,Low,,False,
Real (PMIU Visit),39310174,GGES AMLI MOTI,OKARA,DEPALPUR,Middle,Open,No,14.0,12.0,12.0,0.0,285.0,174.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,08-04-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3982965,22.4,1,High,Medium,,False,
Real (PMIU Visit),34220780,GGHS NAWAZ SHARIF LALA MUSA,GUJRAT,KHARIAN,High,Open,No,8.0,6.0,6.0,0.0,368.0,294.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,04-12-2024,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/3854424,17.28,1,High,Low,,False,
Real (PMIU Visit),33110019,GPS CHAK 214 RB E,FAISALABAD,FAISALABAD CITY,Primary,Open,No,9.0,8.0,5.0,3.0,290.0,269.0,5,5,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,12-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4196641,4.76,1,High,Low,,False,
Real (PMIU Visit),33110371,GGHS MC PEOPLES COLONY FAISALABAD,FAISALABAD,FAISALABAD CITY,High,Open,No,37.0,28.0,26.0,2.0,763.0,633.0,11,11,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,05-03-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4237333,7.78,1,High,Low,,False,
Real (PMIU Visit),33150025,GPS 141 RB II,FAISALABAD,CHAK JHUMARA,Primary,Open,No,8.0,8.0,3.0,1.0,214.0,191.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-04-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4300887/list/,3.22,1,High,Low,,False,
Real (PMIU Visit),33140544,GHSS 209/RB,FAISALABAD,FAISALABAD SADDAR,H.Sec.,Open,No,49.0,27.0,27.0,0.0,684.0,635.0,14,14,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,09-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4189848,6.5,1,High,Low,,False,
Real (PMIU Visit),33120254,GPS 434 GB,FAISALABAD,JARANWALA,Primary,Open,No,7.0,4.0,4.0,0.0,221.0,207.0,6,6,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,27-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4228899,5.66,1,High,Low,,False,
Real (PMIU Visit),33160266,GGPS 595 GB,FAISALABAD,TANDLIAN WALA,Primary,Open,No,5.0,2.0,2.0,0.0,106.0,105.0,3,3,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194793,5.34,1,High,Low,,False,
Real (PMIU Visit),33130129,GPS 209 GB,FAISALABAD,SAMUNDARI,Primary,Open,No,8.0,3.0,3.0,0.0,153.0,150.0,7,7,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,,11-02-2026,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4194836,5.77,1,High,Low,,False,
Real (PMIU Visit),35210591,GGPS SOHARWARDIA,LAHORE,SHALIMAR,Primary,Open,No,4.0,2.0,2.0,0.0,158.0,140.0,2,2,Yes-Wholly,Yes-Wholly,Yes-Wholly,Average,AEO last visited 29-10-2025; building on rent; maintenance/paint required; two classes conducted in open area.,17-11-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4129169,10.33,1,High,Low,,False,No fraud indicators -- routine note
Real (PMIU Visit),35220159,GES MAZAR BABA REHMAT SHAH (EX-MCL),LAHORE,RAIWIND,Middle,Open,No,18.0,13.0,11.0,2.0,667.0,578.0,10,10,Yes-Wholly,Yes-Wholly,Yes-Wholly,Good,Furniture required/repairs noted; some whitewash and window repair work required.,18-09-2025,https://openpunjab.pesrp.edu.pk/schools/home/school_visit_detail/4067971,11.45,1,High,Low,,False,No fraud indicators -- routine note
