EMIS_Code,School_Name,District,Tehsil,Area_Used,OSM_Type,OSM_ID,OSM_Name,OSM_Latitude,OSM_Longitude,OSM_URL,Distance_km,Distance_Reference,Similarity_Score,Token_Jaccard,Token_Containment,String_Ratio,Confidence_Tier,Reviewer_Decision,Status
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,5271830522,Pakistan public high school,29.153246,71.261139,https://www.openstreetmap.org/node/5271830522,47.4,district sibling median (8 schools),0.462,0.0,0.0,0.462,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,1925507753,Army Public School,29.37079,71.680083,https://www.openstreetmap.org/node/1925507753,2.9,district sibling median (8 schools),0.444,0.0,0.0,0.444,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",way,1347105824,Army Public School,29.38225,71.669158,https://www.openstreetmap.org/way/1347105824,4.5,district sibling median (8 schools),0.444,0.0,0.0,0.444,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,4998086916,Al Rahman Public School,29.760256,71.065831,https://www.openstreetmap.org/node/4998086916,76.2,district sibling median (8 schools),0.429,0.0,0.0,0.429,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,5828648488,sirat public school,29.156907,71.245375,https://www.openstreetmap.org/node/5828648488,48.6,district sibling median (8 schools),0.4,0.0,0.0,0.4,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,6120778286,The Smart School,29.141057,71.247856,https://www.openstreetmap.org/node/6120778286,49.2,district sibling median (8 schools),0.4,0.0,0.0,0.4,Possible,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",way,301754061,(unnamed amenity=school POI),29.382837,70.90765,https://www.openstreetmap.org/way/301754061,76.4,district sibling median (8 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31260023,GHS HAKRA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,5358860924,(unnamed amenity=school POI),29.692851,72.462923,https://www.openstreetmap.org/node/5358860924,83.6,district sibling median (8 schools),0.0,0.0,0.0,0.0,Unnamed_POI,,NEEDS MANUAL VERIFICATION - not accepted
31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,5271830821,Al Sadiq public high school,29.153506,71.261111,https://www.openstreetmap.org/node/5271830821,47.4,district sibling median (8 schools),0.381,0.0,0.0,0.381,Weak,,NEEDS MANUAL VERIFICATION - not accepted
31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,"district bbox (Bahawalpur District, rel 16117646)",node,4923821630,Allied School Ahmad Campus,29.405794,71.666395,https://www.openstreetmap.org/node/4923821630,7.0,district sibling median (8 schools),0.375,0.0,0.0,0.375,Weak,,NEEDS MANUAL VERIFICATION - not accepted
