EMIS_Code,Latitude,Longitude,Percent_Built_Earliest,Percent_Built_Recent,Satellite_BuiltUp_Percent,Satellite_Density_Flag
35210186,31.4464595,74.3916586,100.0,100.0,100.0,High_Density
35210168,31.5870311,74.3821182,100.0,100.0,100.0,High_Density
35220155,31.2443583,74.2138126,100.0,100.0,100.0,High_Density
37150049,33.8150627,72.7030379,0.0,37.5,37.5,Mixed_Density
34110639,32.1765842,74.1872621,100.0,100.0,100.0,High_Density
37230021,33.132055,73.4180866,100.0,100.0,100.0,High_Density
31240061,29.3483637,71.6954115,100.0,100.0,100.0,High_Density
33120361,31.3330181,73.4183387,100.0,100.0,100.0,High_Density
33130237,31.4103462,73.0936494,100.0,100.0,100.0,High_Density
38420087,32.0836514,72.676461,100.0,100.0,100.0,High_Density
36420071,30.3022528,71.9278916,100.0,100.0,100.0,High_Density
39330014,30.8782508,73.5998771,100.0,100.0,100.0,High_Density
31260240,,,,,,NoData
34140170,31.96734,73.96987,100.0,100.0,100.0,High_Density
34220737,32.8100237,73.8663245,100.0,100.0,100.0,High_Density
39310993,30.6691771,73.6513733,100.0,100.0,100.0,High_Density
32330082,30.084183,71.1939667,100.0,90.62,90.62,High_Density
37340007,33.7422793,72.8145203,100.0,100.0,100.0,High_Density
37330123,33.6040754,73.0483807,100.0,100.0,100.0,High_Density
33221148,31.2777606,72.3213727,100.0,100.0,100.0,High_Density
33310079,,,,,,NoData
39310174,30.6691771,73.6513733,100.0,100.0,100.0,High_Density
34220780,32.8100237,73.8663245,100.0,100.0,100.0,High_Density
33110019,31.386296,73.0676444,100.0,100.0,100.0,High_Density
33110371,31.386296,73.0676444,100.0,100.0,100.0,High_Density
33150025,,,,,,NoData
33140544,31.3711401,73.0706582,100.0,100.0,100.0,High_Density
33120254,31.3330181,73.4183387,100.0,100.0,100.0,High_Density
33160266,,,,,,NoData
33130129,31.4103462,73.0936494,100.0,100.0,100.0,High_Density
35210591,31.5870311,74.3821182,100.0,100.0,100.0,High_Density
35220159,31.2443583,74.2138126,100.0,100.0,100.0,High_Density
35210798,31.5870311,74.3821182,100.0,100.0,100.0,High_Density
35210011,31.4729999,74.3108542,100.0,100.0,100.0,High_Density
35210049,31.5221005,74.3790353,100.0,100.0,100.0,High_Density
35220493,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35210020,31.5221005,74.3790353,100.0,100.0,100.0,High_Density
36430098,30.4389367,72.3550547,100.0,100.0,100.0,High_Density
37330556,33.6040754,73.0483807,100.0,100.0,100.0,High_Density
35220032,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
35220064,31.5831841,74.3184836,100.0,100.0,100.0,High_Density
37330117,33.6040754,73.0483807,100.0,100.0,100.0,High_Density
99990001,,,,,,NoData
99990002,,,,,,NoData
99990003,,,,,,NoData
99990004,,,,,,NoData
99990005,,,,,,NoData
99990006,,,,,,NoData
99990007,,,,,,NoData
31321032,,,,,,NoData
31321033,,,,,,NoData
31321034,28.855686,71.016265,0.0,90.62,90.62,High_Density
32110565,,,,,,NoData
32320949,,,,,,NoData
35110333,30.9631954,73.9807183,100.0,100.0,100.0,High_Density
39311057,30.6691771,73.6513733,100.0,100.0,100.0,High_Density
32330691,30.084183,71.1939667,100.0,90.62,90.62,High_Density
37130118,33.2437103,72.2686198,100.0,100.0,100.0,High_Density
34320074,32.4846576,74.5442398,100.0,100.0,100.0,High_Density
36130239,,,,,,NoData
33110354,31.386296,73.0676444,100.0,100.0,100.0,High_Density
37330149,33.6040754,73.0483807,100.0,100.0,100.0,High_Density
35210693,31.4729999,74.3108542,100.0,100.0,100.0,High_Density
39220030,30.2944504,73.0589418,100.0,100.0,100.0,High_Density
