EMIS_Code,School_Name,District,Tehsil,Risk_Score,Priority,Latitude,Longitude
31321034,GGHS Chak No 148/5-R,RAHIMYAR KHAN,LIAQATPUR,52.5,High,28.855686,71.016265
31321032,GGHS Chak No 225/1-L,RAHIMYAR KHAN,LIAQATPUR,52.5,High,,
31321031,GGHS 158/7-R,RAHIMYAR KHAN,LIAQATPUR,52.5,High,,
32110506,GPS BAGH ALI MOLE,D.G. KHAN,D.G.KHAN,37.5,Medium,,
31321033,GGHS Chak No 179/7-R,RAHIMYAR KHAN,LIAQATPUR,37.5,Medium,,
36130239,GPS RANA WAHIN,MULTAN,MULTAN SADAR,35.0,High,,
32320754,GPS THATHI HAMZA NO. 2,MUZAFFARGARH,KOT ADU,35.0,Medium,,
31320431,GGPS BASTI HAFIZ GHULAM QADIR,RAHIMYAR KHAN,LIAQATPUR,35.0,Medium,28.6764261,70.7270481
32110836,GGCMS FEROZ WALA,D.G. KHAN,D.G.KHAN,30.0,Medium,,
32120005,GHS BHANBHAN,D.G. KHAN,TAUNSA,27.5,Medium,,
32220564,GMMS AOULAKH NASHEB,LAYYAH,KAROR LALISAN,25.0,Medium,,
32130580,GGPS DR. GHULAM MUHAMMAD,D.G. KHAN,KOT CHUTTA,22.5,Medium,,
31320001,GHSS FEROZAA,RAHIMYAR KHAN,LIAQATPUR,18.75,Low,28.760002,70.820985
32120041,GGHS KOT MOHEE,D.G. KHAN,TAUNSA,18.75,Low,30.550891,70.595535
34140170,GPS GHARRI,GUJRANWALA,NOSHERA VIRKAN,15.84,Low,31.967340,73.969870
32130225,GPS MIR NAGAR,D.G. KHAN,KOT CHUTTA,15.0,Low,,
36120106,GPS TERI WALA VILLAGE GANWEN SHUJABAD,MULTAN,SHUJA ABAD,15.0,Low,29.678265,71.252432
31260240,GPS HAJI KHAMEESA,BAHAWALPUR,BAHAWALPUR SADAR,14.88,Low,,
33310079,GGHS CHAK 159 GB,T.T.SINGH,GOJRA,14.42,Low,,
32110043,GHS ROONGHAN,D.G. KHAN,D.G.KHAN,10.0,Low,,
32320949,GPS CHAK NO. 131 ML,MUZAFFARGARH,KOT ADU,10.0,Low,,
32110565,GGPS SUMRA GABOOL,D.G. KHAN,D.G.KHAN,10.0,Low,,
33160266,GGPS 595 GB,FAISALABAD,TANDLIAN WALA,8.74,Low,,
